"","mergedColors","Freq"
"1","black",302
"2","blue",522
"3","brown",484
"4","cyan",233
"5","darkgreen",104
"6","darkgrey",87
"7","darkmagenta",35
"8","darkolivegreen",51
"9","darkorange",71
"10","darkred",113
"11","darkturquoise",94
"12","green",377
"13","greenyellow",278
"14","grey",2348
"15","grey60",170
"16","lightcyan",198
"17","lightgreen",138
"18","lightyellow",136
"19","magenta",291
"20","midnightblue",212
"21","orange",79
"22","paleturquoise",58
"23","pink",299
"24","purple",279
"25","red",364
"26","royalblue",131
"27","saddlebrown",66
"28","salmon",237
"29","skyblue",66
"30","steelblue",64
"31","tan",261
"32","turquoise",757
"33","violet",58
"34","white",70
"35","yellow",390
